id;objeto;grupo;categoria;foto_carpeta;foto_nombre;silabas;dificultad;separable
1;arándano;vegetales;fruta;/img/vegetales/frutas/;arandano.jpg;a,rán,da,no;4;
2;frutilla;vegetales;fruta;/img/vegetales/frutas/;frutilla.jpg;fru,ti,lla;;
3;limón;vegetales;fruta;/img/vegetales/frutas/;limon.jpg;li,món;;
4;mandarina;vegetales;fruta;/img/vegetales/frutas/;mandarina.jpg;man,da,ri,na;;
5;naranja;vegetales;fruta;/img/vegetales/frutas/;naranja.jpg;na,ran,ja;;
6;pomelo;vegetales;fruta;/img/vegetales/frutas/;pomelo.jpg;po,me,lo;4;
7;melón;vegetales;fruta;/img/vegetales/frutas/;melon.jpg;me,lón;;
8;sandía;vegetales;fruta;/img/vegetales/frutas/;sandia.jpg;san,dí,a;;
9;palta;vegetales;fruta;/img/vegetales/frutas/;palta.jpg;pal,ta;;
10;coco;vegetales;fruta;/img/vegetales/frutas/;coco.jpg;co,co;;
11;kiwi;vegetales;fruta;/img/vegetales/frutas/;kiwi.jpg;ki,wi;;
12;mango;vegetales;fruta;/img/vegetales/frutas/;mango.jpg;man,go;4;
13;papaya;vegetales;fruta;/img/vegetales/frutas/;papaya.jpg;pa,pa,ya;4;
14;ananá;vegetales;fruta;/img/vegetales/frutas/;anana.jpg;a,na,ná;;
15;banana;vegetales;fruta;/img/vegetales/frutas/;banana.jpg;ba,na,na;;
16;cereza;vegetales;fruta;/img/vegetales/frutas/;cereza.jpg;ce,re,za;;
17;ciruela;vegetales;fruta;/img/vegetales/frutas/;ciruela.jpg;ci,rue,la;;
18;higo;vegetales;fruta;/img/vegetales/frutas/;higo.jpg;hi,go;4;
19;manzana;vegetales;fruta;/img/vegetales/frutas/;manzana.jpg;man,za,na;;
20;pera;vegetales;fruta;/img/vegetales/frutas/;pera.jpg;pe,ra;;
21;uva;vegetales;fruta;/img/vegetales/frutas/;uva.jpg;u,va;;
22;almendra;vegetales;fruta;/img/vegetales/frutas/;almendra.jpg;al,men,dra;;
